Number,Country,Season,Title(kr),TItle(eng),Title(nl),Photographer,Date,Description(kr),Description(eng),Description(nl),Past/Present,id
a-13,NL,Summer,지금은 8월인데도 우리는 가을 속에 살고 있어요.,We are living in autumn even though it's August now.,"We leven in de herfst, ook al is het nu augustus.","Kim, Seonrang","21 August, 2026",8월이지만 낙엽은 벌써 떨어졌습니다.,"It's August, but already the leaves have fallen.","Het is augustus, maar de bladeren zijn al gevallen.",Present,artwork-14
a-14,NL,Summer,고통받는 네덜란드의 잔디,Struggling Dutch Grass,Worstelen met het Nederlandse Gras,Alonso,"22 August, 2026","친구 생일 파티로 공원에서 피크닉을 했는데, 잔디가 바짝 말라 있는 게 자꾸 눈에 밟혔습니다. 네덜란드에서는 참 낯선 풍경인데, 비 없는 날씨와 강한 햇빛이 지속되면서 잔디가 다 말라버린 것입니다.","My friend’s birthday celebration was a picnic in the park, but we couldn’t help but notice that the grass was dry. For the Netherlands, this is strange, but the days without rain and lots of sun dried out the grass.","De verjaardag van mijn vriend werd gevierd met een picknick in het park, maar het viel ons meteen op dat het gras gortdroog was. Voor Nederland is dit vreemd, maar de dagen zonder regen en de felle zon hebben het gras volledig uitgedroogd.",Present,artwork-13
a-15,NL,Summer,여름임을 잊은 8월,August Forgot It Was Summer,Augustus Vergat dat het Zomer Was,"Lee, Nayoung",August 2026,"8월이었고 모든 것이 여전히 한여름의 짙은 녹음에 둘러싸여 있었지만, 오직 이 작은 나뭇잎 한 무리만은 달랐습니다. 마치 주변의 다른 것들과는 전혀 다른 계절을 살고 있는 듯, 그것들은 이미 갈색으로 변해 있었습니다. 순간 가을이 엉뚱한 시간, 엉뚱한 장소에 실수로 찾아온 것만 같은 기분이 들었습니다.","It was August, and everything was still wrapped in the deep green of summer, except for this one small patch of leaves. They had already turned brown, as if they were living in a different season from everything around them. For a moment, it felt like autumn had accidentally arrived in the wrong place, at the wrong time.","Het was augustus en alles was nog gehuld in het diepe groen van de zomer, behalve dit ene kleine stukje bladeren. Ze waren al bruin geworden, alsof ze in een ander seizoen leefden dan al het andere om hen heen. Heel even voelde het alsof de herfst per ongeluk op de verkeerde plek en op het verkeerde moment was aangekomen.",Present,artwork-15
a-16,KR,Summer,비 때문에 한껏 지친 나….,Completely Exhausted by the Rain…,Helemaal Uitgeput Door de Regen…,최예진,"4 April, 2024",전주에 촬영하러 다녀왔었는데 미친 듯이 비가 오고 태풍이 불었어요 ㅠㅠ 너무 힘들었어요,"I went to Jeonju for a shoot, and it rained like crazy, and a typhoon was blowing… It was so exhausting.","Ik was in Jeonju voor een fotoshoot, maar het regende echt pijpenstelen en er raasde een tyfoon ㅠㅠ Het was zo ontzettend zwaar.",Present,artwork-07
a-17,KR,Summer,폭우슬라이드,Heavy Rain Slide,Stortregen-glijbaan,곽윤서,Summer 2026,이날 비가 너무 많이 와서 내리막길 내려가다 미끄러져 자빠졌는데 워터슬라이드처럼 쭉 타고 내려감,"It rained so hard that day; I slipped while walking down a downhill path and wiped out, then slid all the way down like a waterslide.","Het regende die dag zo hard; ik gleed uit op een helling, ging keihard onderuit en gleed toen als een soort waterglijbaan helemaal naar beneden.",Present,artwork-08
a-18,KR,Summer,절대 밖으로 나가지 마,Do not go outside,Waag Het Niet Om Naar Buiten Te Gaan,정승혁,Summer 2026,"전북 익산입니다. 미술관으로 들어가는 입구인데, 햇볕이 뜨거워 사람들이 그늘 아래로만 걸어갑니다","This is Iksan, Jeonbuk. It's the entrance to an art museum, and the sun is so scorching hot that people are only walking under the shade.","Dit is Iksan, Jeonbuk. Het is de ingang van een kunstmuseum, en de zon brandt zo hard dat mensen alleen maar in de schaduw lopen.",Present,artwork-06
a-19,KR,Summer,폭염,Heatwave,Hittegolf,곽진서,Summer 2025,사진은 좋아 보이지만 작년 이맘때 살인적인 더위와 습도에 정말 살인당할 뻔했다,"The photo looks nice, but around this time last year, I almost got killed by the murderous heat and humidity.","De foto ziet er goed uit, maar rond deze tijd vorig jaar werd ik bijna vermoord door de moordende hitte en vochtigheid.",Present,artwork-05
a-20,KR,Summer,습도90%면 인어공주가 살기엔 조금 부족하네,90% Humidity is a Bit Short for the Little Mermaid to Live in.,Met 90% Luchtvochtigheid Komt de Kleine Zeemeermin Net Tekort,전시언,Summer 2026,습도가 너무 높았어요,The humidity was just way too high.,De luchtvochtigheid was echt veel te hoog.,,artwork-09
a-21,KR,Summer,여름을 보내는 가정의 모습,,,Seoul Metropolitan Archives,"26 July, 1961",,,,Past,artwork-23
a-22,NL,Winter,,,"Elfstedentocht 1963, Doorkomst te Sneek","Pot, Harry","18 Jan, 1963",,,,Past,artwork-28
a-23,NL,Winter,모든 것이 멈췄다,All stopped,Alles lag stil,Zin,"9 January, 2026",흐로닝언에는 눈이 거의 내리지 않는다고 들었는데 지난겨울에는 이례적인 폭설이 며칠 동안 이어졌습니다. 온 나라가 마비되고 학교가 문을 닫았으며 공급망이 끊겨 슈퍼마켓 진열대가 완전히 텅 비어 버렸던 기억이 납니다.,"I heard that it rarely snows in Groningen. But last winter, exceptional heavy snowfall continued for days. I remember the entire country was stopped, schools closed and supply chains disrupted, leaving supermarket shelves completely empty.","Ik had gehoord dat het zelden sneeuwt in Groningen. Maar afgelopen winter hield de uitzonderlijk zware sneeuwval dagenlang aan. Ik herinner me dat het hele land stilbelaat, de scholen sloten en de toeleveringsketens verstoord raakten, waardoor de schappen in de supermarkt compleet leeg achterbleven.",Present,artwork-20
a-24,NL,Winter,온 나라를 얼리다,Freeze the whole country,Het hele land bevriezen,"Buitenkamp, Niels","10 January, 2026","이번 겨울, 예기치 못한 눈보라가 네덜란드를 덮쳤습니다. 그 결과 모든 자전거 도로와 일반 도로가 막혔고 전력 부족 사태가 발생했습니다.","This winter, an unexpected snowstorm hit the Netherlands. As a consequence of this, all the bike roads and main roads were blocked, and there was an electrical power shortage.",Deze winter werd Nederland getroffen door een onverwachte sneeuwstorm. Als gevolg hiervan raakten alle fietspaden en wegen geblokkeerd en was er een stroomtekort.,Present,artwork-19
a-25,KR,Winter,가을 위에 겨울,Winter Atop Autumn,Winter Op de Herfst,지가연,"27 November, 2024","단풍이 채 지지 않았을 무렵, 첫눈이 내렸습니다. 가을 위에 겨울이 살포시 내려앉은 풍경이 낯설면서도 보기 좋습니다.","An early first snow fell around the time when the autumn leaves hadn't even faded yet. The landscape of winter gently settling on top of autumn feels unfamiliar, yet it is beautiful to look at.","De vroege eerste sneeuw viel rond de tijd dat de herfstbladeren nog niet eens waren gevallen. Het landschap waarin de winter zich zachtjes over de herfst heen vlijt voelt onwennig, maar is prachtig om te zien.",Present,artwork-17
a-26,KR,Winter,가을이 겨울을 만난날,The Day Autumn Met Winter,De Dag dat de Herfst de Winter Ontmoette,민지,Late Autumn 2024,새내기 시절 등굣길인데 한창 가을이라 단풍이 만개했었는데 갑자기 어느날 눈이 내려서 단풍 위에 눈이 쌓였어요.,"This was my commute to school back when I was a freshman. Autumn was in full swing and the leaves were at their peak, but then one day it suddenly snowed, and snow piled up on top of the autumn leaves.","Dit was mijn route naar school toen ik nog een eerstejaars student was. De herfst was in volle gang en de herfstkleuren waren op hun mooist, maar op een dag begon het opeens te sneeuwen en hoopte de sneeuw zich op de gekleurde bladeren op.",Present,artwork-18
a-27,KR,Winter,구세군 자선냄비,,,Seoul Metropolitan Archives,"23 December, 1963",,,,Past,artwork-27
a-28,KR,Spring,어제 분명히 따뜻했음,It was definitely warm yesterday,Gisteren was het absoluut warm,신가영,2024년 4월,기숙사 앞에서 찍었던 사진입니다. 분명히 어제 따뜻했는데 갑자기 폭설이 내렸어요.,"I took this picture in front of my dorm. It was definitely warm yesterday, but it heavily snowed all of a sudden.","Ik heb deze foto voor mijn studentenflat genomen. Gisteren was het nog zo warm, maar ineens begon het hard te sneeuwen.",Present,artwork-02
